VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,pickup_hour,pickup_dayofweek,tip_rate,high_tip
2,2023-01-01 00:37:08,2023-01-01 00:43:24,1.0,1.47,1.0,N,151,239,1,8.6,1.0,0.5,1.75,0.0,1.0,15.35,2.5,0.0,0,6,0.20348837209302326,0
2,2023-01-01 00:44:17,2023-01-01 01:23:12,1.0,4.78,1.0,N,239,125,1,34.5,1.0,0.5,11.85,0.0,1.0,51.35,2.5,0.0,0,6,0.34347826086956523,1
1,2023-01-01 00:34:23,2023-01-01 00:50:12,1.0,2.9,1.0,N,161,238,1,16.3,3.5,0.5,4.25,0.0,1.0,25.55,2.5,0.0,0,6,0.2607361963190184,1
1,2023-01-01 00:55:58,2023-01-01 01:07:48,1.0,2.4,1.0,N,239,236,1,13.5,3.5,0.5,3.5,0.0,1.0,22.0,2.5,0.0,0,6,0.25925925925925924,1
1,2023-01-01 00:04:26,2023-01-01 00:24:03,1.0,5.8,1.0,N,142,42,2,26.8,3.5,0.5,0.0,0.0,1.0,31.8,2.5,0.0,0,6,0.0,0
1,2023-01-01 00:38:33,2023-01-01 00:46:54,2.0,2.0,1.0,N,236,142,1,11.4,3.5,0.5,3.0,0.0,1.0,19.4,2.5,0.0,0,6,0.2631578947368421,1
1,2023-01-01 00:51:42,2023-01-01 01:11:26,2.0,4.2,1.0,N,142,263,1,21.9,3.5,0.5,5.35,0.0,1.0,32.25,2.5,0.0,0,6,0.24429223744292236,0
2,2023-01-01 00:42:07,2023-01-01 00:50:50,1.0,1.62,1.0,N,148,107,1,10.7,1.0,0.5,3.0,0.0,1.0,18.7,2.5,0.0,0,6,0.28037383177570097,1
2,2023-01-01 00:58:49,2023-01-01 01:15:39,1.0,2.98,1.0,N,162,262,1,18.4,1.0,0.5,3.0,0.0,1.0,26.4,2.5,0.0,0,6,0.16304347826086957,0
2,2023-01-01 00:05:32,2023-01-01 00:21:24,2.0,2.81,1.0,N,142,263,1,17.0,1.0,0.5,4.4,0.0,1.0,26.4,2.5,0.0,0,6,0.25882352941176473,1
2,2023-01-01 00:24:01,2023-01-01 00:32:00,2.0,1.83,1.0,N,263,140,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,0,6,0.29345794392523367,1
2,2023-01-01 00:35:30,2023-01-01 00:46:04,2.0,1.14,1.0,N,140,163,1,10.7,1.0,0.5,3.92,0.0,1.0,19.62,2.5,0.0,0,6,0.3663551401869159,1
